,id,conversation_id,created_at,date,time,timezone,user_id,username,name,place,tweet,language,mentions,urls,photos,replies_count,retweets_count,likes_count,hashtags,cashtags,link,retweet,quote_url,video,thumbnail,near,geo,source,user_rt_id,user_rt,retweet_id,reply_to,retweet_date,translate,trans_src,trans_dest
0,1388962051951931394,1388962051951931392,2021-05-02 23:02:13 ora legale Europa occidentale,2021-05-02,23:02:13,200,54717228,ilmeteoit,IL METEO.it,,"#VACCINO #ASTRAZENECA: #SECONDA #DOSE nel #CUORE dell'ESTATE, #BOOM di #DISDETTE causa #FERIE. Gli #AGGIORNAMENTI  https://t.co/N9GfCr9AiW",it,[],['https://www.ilmeteo.it/notizie/vaccino-astrazeneca-seconda-dose-nel-cuore-dellestate-boom-di-disdette-causa-ferie-gli-aggiornamenti-081922'],[],2,0,0,"['vaccino', 'astrazeneca', 'seconda', 'dose', 'cuore', 'boom', 'disdette', 'ferie', 'aggiornamenti']",[],https://twitter.com/ilmeteoit/status/1388962051951931394,False,,0,,,,,,,,[],,,,
1,1388901664539791364,1388901664539791360,2021-05-02 19:02:16 ora legale Europa occidentale,2021-05-02,19:02:16,200,54717228,ilmeteoit,IL METEO.it,,"#VACCINO #ASTRAZENECA e #TROMBOSI: i #SINTOMI a cui fare #ATTENZIONE, parla l'ESPERTO  https://t.co/AuLVQPwSBY",it,[],['https://www.ilmeteo.it/notizie/vaccino-astrazeneca-e-trombosi-i-sintomi-a-cui-fare-attenzione-parla-lesperto-081831'],[],0,1,2,"['vaccino', 'astrazeneca', 'trombosi', 'sintomi', 'attenzione']",[],https://twitter.com/ilmeteoit/status/1388901664539791364,False,,0,,,,,,,,[],,,,
2,1388867459692863491,1388867459692863488,2021-05-02 16:46:20 ora legale Europa occidentale,2021-05-02,16:46:20,200,213254229,fanpage,Fanpage.it,,"#Vaccino agli studenti ""a scuola, come negli anni '70""  https://t.co/yxihkWN2UO",it,[],['http://fanpa.ge/yJeJ4'],[],4,6,12,['vaccino'],[],https://twitter.com/fanpage/status/1388867459692863491,False,,0,,,,,,,,[],,,,
3,1388864321749389315,1388864321749389312,2021-05-02 16:33:52 ora legale Europa occidentale,2021-05-02,16:33:52,200,3292873475,tgrraiveneto,Tgr Rai Veneto,,"Spopola sul #web l'ultimo #video di #checcozalone  #LaVacinada. E' piaciuto molto anche in #Veneto, a chi era in coda per il #vaccino. Il servizio di Curzio Pettenò e Claudio De Zan, col montaggio di Renato Masiero #ioseguoTgr     https://t.co/GuDxY0vKDG",it,[],['https://www.rainews.it/tgr/veneto/video/2021/05/ven-Checco-zalone-Helen-Mirren-La-Vacinada-video-vaccini-1d6e204e-3c9f-4131-b3c6-f096c84d8b5c.html?wt_mc=2.social.tw.redtgrveneto_ven-Checco-zalone-Helen-Mirren-La-Vacinada-video-vaccini.&wt'],[],0,2,0,"['web', 'video', 'checcozalone', 'lavacinada', 'veneto', 'vaccino', 'ioseguotgr']",[],https://twitter.com/TgrRaiVeneto/status/1388864321749389315,False,,0,,,,,,,,[],,,,
4,1388859701081804801,1388859701081804800,2021-05-02 16:15:31 ora legale Europa occidentale,2021-05-02,16:15:31,200,213254229,fanpage,Fanpage.it,,Superate le 500mila dosi di #vaccino giornaliere in Italia  https://t.co/InuvnwyMX3,it,[],['http://fanpa.ge/Rueuf'],[],0,5,10,['vaccino'],[],https://twitter.com/fanpage/status/1388859701081804801,False,,0,,,,,,,,[],,,,
5,1388856178172731392,1388856178172731392,2021-05-02 16:01:31 ora legale Europa occidentale,2021-05-02,16:01:31,200,324818479,gds_it,Gds.it,,"Malore improvviso, dipendente comunale muore nel Nisseno 2 giorni dopo il #vaccino #AstraZeneca  https://t.co/N6IniPTCDi  https://t.co/5DRQJrZdwS",it,[],['https://caltanissetta.gds.it/articoli/cronaca/2021/05/02/malore-improvviso-dipendente-comunale-muore-nel-nisseno-2-giorni-dopo-il-vaccino-astrazeneca-4dc8cda3-0545-46ce-a991-a32faca1fc20/?utm_medium=feed&utm_source=twitter.com&utm_campaign=Feed%3A+gds_twitter_feed'],['https://pbs.twimg.com/media/E0Y1VV7WEAAsHPY.jpg'],0,1,0,"['vaccino', 'astrazeneca']",[],https://twitter.com/GDS_it/status/1388856178172731392,False,,1,https://pbs.twimg.com/media/E0Y1VV7WEAAsHPY.jpg,,,,,,,[],,,,
6,1388840701345951744,1388840701345951744,2021-05-02 15:00:01 ora legale Europa occidentale,2021-05-02,15:00:01,200,213254229,fanpage,Fanpage.it,,In India mancano le dosi di #vaccino e al momento è stato somministrato soltanto al 2% della popolazione  https://t.co/t6H8xPnsij,it,[],['http://fanpa.ge/SPtTd'],[],0,0,4,['vaccino'],[],https://twitter.com/fanpage/status/1388840701345951744,False,,0,,,,,,,,[],,,,
7,1388795734531661824,1388791526231248896,2021-05-02 12:01:20 ora legale Europa occidentale,2021-05-02,12:01:20,200,210501383,radio1rai,Rai Radio1,,"🔵“Stiamo pensando di #vaccinare i ragazzi a #scuola, come si faceva una volta negli anni '70"". Così il generale #Figliuolo, commissario per l'Emergenza #Covid   #vaccino  https://t.co/IxczvFGE1b",it,[],[],['https://pbs.twimg.com/media/E0X-QbPWQAcXv_w.jpg'],3,1,3,"['vaccinare', 'scuola', 'figliuolo', 'covid', 'vaccino']",[],https://twitter.com/Radio1Rai/status/1388795734531661824,False,,1,https://pbs.twimg.com/media/E0X-QbPWQAcXv_w.jpg,,,,,,,[],,,,
8,1388791526231248899,1388791526231248896,2021-05-02 11:44:37 ora legale Europa occidentale,2021-05-02,11:44:37,200,210501383,radio1rai,Rai Radio1,,"🔵""Dopo la messa in sicurezza degli over 65 si può aprire a tutte le classi di età. Si vada a vaccinare poi le classi produttive, penso al settore alberghiero"". Lo dice il commissario per l'emergenza #Covid Francesco #Figliuolo   #vaccino  https://t.co/8ljmjvEsUy",it,[],[],['https://pbs.twimg.com/media/E0X6f9LWEAAj00N.jpg'],4,4,8,"['covid', 'figliuolo', 'vaccino']",[],https://twitter.com/Radio1Rai/status/1388791526231248899,False,,1,https://pbs.twimg.com/media/E0X6f9LWEAAj00N.jpg,,,,,,,[],,,,
9,1388777722537709573,1388777722537709568,2021-05-02 10:49:45 ora legale Europa occidentale,2021-05-02,10:49:45,200,213254229,fanpage,Fanpage.it,,"Birra, marijuana, videogiochi e altri incentivi per incoraggiare il #vaccino negli USA  https://t.co/6reuH1sZ1d",it,[],['http://fanpa.ge/9KaEP'],[],3,2,13,['vaccino'],[],https://twitter.com/fanpage/status/1388777722537709573,False,,0,,,,,,,,[],,,,
